Participant ID,Trial Number,Sample Number,Sample Order,Sample Time,Comparison Time,Condition,Path,Foil
1,30,10,left,10000,20000,H,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (3, 1)]","[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (2, 2)]"
1,31,45,right,10000,20000,VH,"[(2, 2), (1, 2), (1, 1), (2, 1), (2, 0), (3, 0), (4, 0)]","[(2, 2), (1, 2), (1, 1), (1, 0), (2, 0), (3, 0), (4, 0)]"
1,32,44,left,10000,20000,VH,"[(1, 0), (1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (1, 4)]","[(1, 0), (1, 1), (2, 1), (2, 2), (2, 3), (1, 3), (1, 4)]"
1,33,7,left,10000,20000,VH,"[(0, 4), (1, 4), (1, 3), (0, 3), (0, 2), (1, 2), (1, 1)]","[(0, 4), (1, 4), (1, 3), (0, 3), (0, 2), (1, 2), (2, 2)]"
1,34,1,left,10000,20000,VH,"[(0, 3), (0, 2), (1, 2), (1, 3), (2, 3), (2, 2), (2, 1)]","[(0, 3), (0, 2), (1, 2), (1, 3), (2, 3), (2, 2), (3, 2)]"
1,35,13,right,10000,20000,VH,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (3, 1)]","[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (2, 2)]"
1,36,57,right,10000,20000,V,"[(3, 1), (3, 2), (4, 2), (4, 3), (3, 3), (3, 4), (2, 4)]","[(3, 1), (3, 2), (4, 2), (4, 3), (4, 4), (3, 4), (2, 4)]"
1,37,8,right,10000,20000,V,"[(4, 3), (4, 4), (3, 4), (3, 3), (2, 3), (2, 2), (1, 2)]","[(4, 3), (4, 4), (3, 4), (2, 4), (2, 3), (2, 2), (1, 2)]"
1,38,14,right,10000,20000,V,"[(4, 3), (4, 2), (3, 2), (3, 1), (2, 1), (2, 0), (3, 0)]","[(4, 3), (4, 2), (4, 1), (3, 1), (2, 1), (2, 0), (3, 0)]"
1,39,17,right,10000,20000,V,"[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (1, 2), (0, 2)]","[(0, 0), (0, 1), (1, 1), (2, 1), (2, 2), (1, 2), (0, 2)]"
1,40,5,left,10000,20000,V,"[(0, 4), (1, 4), (1, 3), (2, 3), (2, 2), (1, 2), (1, 1)]","[(0, 4), (1, 4), (2, 4), (2, 3), (2, 2), (1, 2), (1, 1)]"
1,41,25,left,10000,20000,H,"[(4, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (2, 2)]","[(4, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (3, 1)]"
1,42,12,right,10000,20000,H,"[(0, 1), (0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (3, 2)]","[(0, 1), (0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (3, 2)]"
1,43,37,right,10000,20000,H,"[(0, 3), (0, 4), (1, 4), (1, 3), (2, 3), (2, 2), (1, 2)]","[(0, 3), (0, 4), (1, 4), (2, 4), (2, 3), (2, 2), (1, 2)]"
1,44,6,left,10000,20000,H,"[(1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (2, 3), (3, 3)]","[(1, 1), (2, 1), (2, 2), (1, 2), (1, 3), (2, 3), (2, 4)]"
1,45,36,left,10000,20000,H,"[(4, 2), (3, 2), (3, 3), (2, 3), (2, 2), (1, 2), (1, 3)]","[(4, 2), (3, 2), (3, 3), (2, 3), (2, 2), (1, 2), (0, 2)]"
1,46,11,left,10000,20000,VH,"[(3, 0), (3, 1), (4, 1), (4, 2), (3, 2), (3, 3), (2, 3)]","[(3, 0), (3, 1), (4, 1), (4, 2), (4, 3), (3, 3), (2, 3)]"
1,47,20,left,10000,20000,VH,"[(2, 2), (1, 2), (1, 1), (0, 1), (0, 0), (1, 0), (2, 0)]","[(2, 2), (2, 1), (1, 1), (0, 1), (0, 0), (1, 0), (2, 0)]"
1,48,2,left,10000,20000,VH,"[(4, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (3, 1)]","[(4, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (2, 2)]"
1,49,40,right,10000,20000,VH,"[(2, 3), (2, 4), (3, 4), (3, 3), (4, 3), (4, 2), (4, 1)]","[(2, 3), (2, 4), (3, 4), (4, 4), (4, 3), (4, 2), (4, 1)]"
1,50,59,left,10000,20000,VH,"[(1, 3), (2, 3), (2, 4), (3, 4), (3, 3), (4, 3), (4, 4)]","[(1, 3), (2, 3), (2, 4), (3, 4), (3, 3), (4, 3), (4, 2)]"
1,51,58,right,10000,20000,V,"[(4, 0), (3, 0), (3, 1), (4, 1), (4, 2), (3, 2), (3, 3)]","[(4, 0), (3, 0), (3, 1), (4, 1), (4, 2), (3, 2), (2, 2)]"
1,52,41,left,10000,20000,V,"[(2, 4), (1, 4), (1, 3), (2, 3), (2, 2), (3, 2), (3, 1)]","[(2, 4), (1, 4), (1, 3), (1, 2), (2, 2), (3, 2), (3, 1)]"
1,53,29,right,10000,20000,V,"[(0, 4), (1, 4), (1, 3), (0, 3), (0, 2), (1, 2), (2, 2)]","[(0, 4), (1, 4), (1, 3), (0, 3), (0, 2), (1, 2), (1, 1)]"
1,54,53,right,10000,20000,V,"[(4, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (2, 2)]","[(4, 4), (3, 4), (3, 3), (4, 3), (4, 2), (3, 2), (3, 1)]"
